Area Type,Area Name,Period,Standard Occupational Classification (SOC),Occupational Title,Base Year Employment Estimate,Projected Year Employment Estimate,Numeric Change,Percentage Change,Exits,Transfers,Total Job Openings,Median Hourly Wage ,Median Annual Wage,Entry Level Education,Work Experience,Job Training
Regional Planning Unit,San Joaquin Valley and Associated Counties,2018-2028,19-4092,Forensic Science Technicians,170,190,30,0.2,50,160,240,30.10,62604.00,Bachelor's degree,None,Moderate-term on-the-job training
Regional Planning Unit,San Joaquin Valley and Associated Counties,2018-2028,19-4093,Forest and Conservation Technicians,1330,1480,150,0.1,380,1280,1820,0.00,0.00,Associate's degree,None,None
Regional Planning Unit,San Joaquin Valley and Associated Counties,2018-2028,19-4099,"Life, Physical, and Social Science Technicians, All Other",290,330,40,0.1,90,290,410,28.12,58486.00,Associate's degree,None,None
Regional Planning Unit,San Joaquin Valley and Associated Counties,2018-2028,21-1012,"Educational, Guidance, School, and Vocational Counselors",3600,3870,280,0.1,1210,2610,4100,41.00,85274.00,Master's degree,None,None
Regional Planning Unit,San Joaquin Valley and Associated Counties,2018-2028,21-1013,Marriage and Family Therapists,1610,2080,460,0.3,600,1290,2350,19.50,40548.00,Master's degree,None,Internship/residency
Regional Planning Unit,San Joaquin Valley and Associated Counties,2018-2028,21-1015,Rehabilitation Counselors,1960,2160,200,0.1,670,1440,2300,15.75,32760.00,Master's degree,None,None
Regional Planning Unit,San Joaquin Valley and Associated Counties,2018-2028,21-1018,"Substance Abuse, Behavioral Disorder, and Mental Health Counselors",2970,3530,550,0.2,1050,2270,3880,23.80,49505.00,Bachelor's degree,None,None
Regional Planning Unit,San Joaquin Valley and Associated Counties,2018-2028,21-1019,"Counselors, All Other",1270,1300,30,0.0,420,900,1350,22.79,47420.00,Master's degree,None,None
Regional Planning Unit,San Joaquin Valley and Associated Counties,2018-2028,21-1021,"Child, Family, and School Social Workers",2790,2940,150,0.1,850,1950,2950,22.71,47246.00,Bachelor's degree,None,None
Regional Planning Unit,San Joaquin Valley and Associated Counties,2018-2028,21-1022,Healthcare Social Workers,1530,1800,270,0.2,490,1130,1890,38.15,79341.00,Master's degree,None,Internship/residency
Regional Planning Unit,San Joaquin Valley and Associated Counties,2018-2028,21-1023,Mental Health and Substance Abuse Social Workers,1990,2230,240,0.1,620,1430,2300,28.88,60083.00,Master's degree,None,Internship/residency
Regional Planning Unit,San Joaquin Valley and Associated Counties,2018-2028,21-1029,"Social Workers, All Other",1540,1640,100,0.1,470,1080,1650,31.17,64831.00,Bachelor's degree,None,None
Regional Planning Unit,San Joaquin Valley and Associated Counties,2018-2028,21-1091,Health Educators,780,930,140,0.2,320,650,1110,25.14,52299.00,Bachelor's degree,None,None
Regional Planning Unit,San Joaquin Valley and Associated Counties,2018-2028,21-1092,Probation Officers and Correctional Treatment Specialists,1900,2030,130,0.1,430,1230,1790,45.17,93957.00,Bachelor's degree,None,Short-term on-the-job training
Regional Planning Unit,San Joaquin Valley and Associated Counties,2018-2028,21-1093,Social and Human Service Assistants,4810,5260,450,0.1,2010,3970,6430,19.00,39526.00,High school diploma or equivalent,None,Short-term on-the-job training
Regional Planning Unit,San Joaquin Valley and Associated Counties,2018-2028,21-1094,Community Health Workers,640,690,50,0.1,250,510,810,21.48,44671.00,High school diploma or equivalent,None,Short-term on-the-job training
Regional Planning Unit,San Joaquin Valley and Associated Counties,2018-2028,21-1099,"Community and Social Service Specialists, All Other",1410,1510,90,0.1,540,1100,1740,23.71,49318.00,Bachelor's degree,None,None
Regional Planning Unit,San Joaquin Valley and Associated Counties,2018-2028,21-2011,Clergy,1330,1490,160,0.1,620,910,1680,29.84,62067.00,Bachelor's degree,None,Moderate-term on-the-job training
Regional Planning Unit,San Joaquin Valley and Associated Counties,2018-2028,21-2021,"Directors, Religious Activities and Education",750,830,80,0.1,390,590,1060,17.32,36030.00,Bachelor's degree,Less than 5 years,None
Regional Planning Unit,San Joaquin Valley and Associated Counties,2018-2028,21-2099,"Religious Workers, All Other",320,360,40,0.1,200,240,480,14.30,29753.00,Bachelor's degree,None,None
Regional Planning Unit,San Joaquin Valley and Associated Counties,2018-2028,23-1011,Lawyers,3770,4020,250,0.1,840,1030,2110,60.61,126055.00,Doctoral or professional degree,None,None
Regional Planning Unit,San Joaquin Valley and Associated Counties,2018-2028,23-1012,Judicial Law Clerks,500,530,30,0.1,80,160,260,28.35,58980.00,Doctoral or professional degree,None,None
Regional Planning Unit,San Joaquin Valley and Associated Counties,2018-2028,23-1021,"Administrative Law Judges, Adjudicators, and Hearing Officers",110,120,10,0.1,30,30,60,63.15,131352.00,Doctoral or professional degree,5 years or more,Short-term on-the-job training
Regional Planning Unit,San Joaquin Valley and Associated Counties,2018-2028,23-1022,"Arbitrators, Mediators, and Conciliators",50,50,0,0.0,10,10,20,41.41,86143.00,Bachelor's degree,Less than 5 years,Moderate-term on-the-job training
Regional Planning Unit,San Joaquin Valley and Associated Counties,2018-2028,23-1023,"Judges, Magistrate Judges, and Magistrates",200,210,10,0.1,40,50,110,105.64,219741.00,Doctoral or professional degree,5 years or more,Short-term on-the-job training
Regional Planning Unit,San Joaquin Valley and Associated Counties,2018-2028,23-2011,Paralegals and Legal Assistants,1730,1970,240,0.1,620,1340,2200,24.66,51294.00,Associate's degree,None,None
Regional Planning Unit,San Joaquin Valley and Associated Counties,2018-2028,23-2091,Court Reporters,160,170,10,0.1,60,90,160,0.00,0.00,Postsecondary non-degree award,None,Short-term on-the-job training
Regional Planning Unit,San Joaquin Valley and Associated Counties,2018-2028,23-2093,"Title Examiners, Abstractors, and Searchers",250,260,10,0.0,90,140,230,28.13,58502.00,High school diploma or equivalent,None,Moderate-term on-the-job training
Regional Planning Unit,San Joaquin Valley and Associated Counties,2018-2028,23-2099,"Legal Support Workers, All Other",560,590,30,0.1,190,320,540,22.51,46824.00,Associate's degree,None,None
Regional Planning Unit,San Joaquin Valley and Associated Counties,2018-2028,25-1011,"Business Teachers, Postsecondary",540,570,30,0.1,200,250,490,0.00,129546.00,Doctoral or professional degree,None,None
Regional Planning Unit,San Joaquin Valley and Associated Counties,2018-2028,25-1021,"Computer Science Teachers, Postsecondary",100,100,0,-0.0,40,50,80,0.00,125718.00,Doctoral or professional degree,None,None
Regional Planning Unit,San Joaquin Valley and Associated Counties,2018-2028,25-1022,"Mathematical Science Teachers, Postsecondary",430,410,-10,-0.0,150,190,330,0.00,113883.00,Doctoral or professional degree,None,None
Regional Planning Unit,San Joaquin Valley and Associated Counties,2018-2028,25-1032,"Engineering Teachers, Postsecondary",370,390,20,0.1,140,170,330,0.00,108122.00,Doctoral or professional degree,None,None
Regional Planning Unit,San Joaquin Valley and Associated Counties,2018-2028,25-1041,"Agricultural Sciences Teachers, Postsecondary",80,70,0,-0.0,30,30,60,0.00,109324.00,Doctoral or professional degree,None,None
Regional Planning Unit,San Joaquin Valley and Associated Counties,2018-2028,25-1042,"Biological Science Teachers, Postsecondary",240,260,10,0.0,90,120,220,0.00,101506.00,Doctoral or professional degree,None,None
Regional Planning Unit,San Joaquin Valley and Associated Counties,2018-2028,25-1051,"Atmospheric, Earth, Marine, and Space Sciences Teachers, Postsecondary",130,120,-10,-0.1,50,60,100,0.00,109207.00,Doctoral or professional degree,None,None
Regional Planning Unit,San Joaquin Valley and Associated Counties,2018-2028,25-1052,"Chemistry Teachers, Postsecondary",130,130,0,0.0,50,60,110,0.00,94001.00,Doctoral or professional degree,None,None
Regional Planning Unit,San Joaquin Valley and Associated Counties,2018-2028,25-1054,"Physics Teachers, Postsecondary",70,70,0,0.0,30,30,60,0.00,78022.00,Doctoral or professional degree,None,None
Regional Planning Unit,San Joaquin Valley and Associated Counties,2018-2028,25-1061,"Anthropology and Archeology Teachers, Postsecondary",30,30,0,-0.1,10,10,20,0.00,108247.00,Doctoral or professional degree,None,None
Regional Planning Unit,San Joaquin Valley and Associated Counties,2018-2028,25-1063,"Economics Teachers, Postsecondary",70,70,0,0.0,20,30,60,0.00,108437.00,Doctoral or professional degree,None,None
Regional Planning Unit,San Joaquin Valley and Associated Counties,2018-2028,25-1064,"Geography Teachers, Postsecondary",30,30,0,0.0,10,10,20,0.00,122136.00,Doctoral or professional degree,None,None
Regional Planning Unit,San Joaquin Valley and Associated Counties,2018-2028,25-1065,"Political Science Teachers, Postsecondary",60,60,0,-0.0,20,30,50,0.00,93490.00,Doctoral or professional degree,None,None
Regional Planning Unit,San Joaquin Valley and Associated Counties,2018-2028,25-1066,"Psychology Teachers, Postsecondary",350,350,10,0.0,130,160,290,0.00,116921.00,Doctoral or professional degree,None,None
Regional Planning Unit,San Joaquin Valley and Associated Counties,2018-2028,25-1067,"Sociology Teachers, Postsecondary",60,60,0,-0.0,20,30,50,0.00,108428.00,Doctoral or professional degree,None,None
Regional Planning Unit,San Joaquin Valley and Associated Counties,2018-2028,25-1071,"Health Specialties Teachers, Postsecondary",600,720,120,0.2,240,300,670,0.00,117577.00,Doctoral or professional degree,Less than 5 years,None
Regional Planning Unit,San Joaquin Valley and Associated Counties,2018-2028,25-1072,"Nursing Instructors and Teachers, Postsecondary",200,220,20,0.1,80,90,190,0.00,99018.00,Doctoral or professional degree,Less than 5 years,None
Regional Planning Unit,San Joaquin Valley and Associated Counties,2018-2028,25-1081,"Education Teachers, Postsecondary",400,420,10,0.0,150,190,350,0.00,87728.00,Doctoral or professional degree,Less than 5 years,None
Regional Planning Unit,San Joaquin Valley and Associated Counties,2018-2028,25-1082,"Library Science Teachers, Postsecondary",50,50,0,-0.0,20,20,40,0.00,101329.00,Doctoral or professional degree,None,None
Regional Planning Unit,San Joaquin Valley and Associated Counties,2018-2028,25-1111,"Criminal Justice and Law Enforcement Teachers, Postsecondary",140,160,20,0.1,60,70,140,0.00,138259.00,Doctoral or professional degree,None,None
Regional Planning Unit,San Joaquin Valley and Associated Counties,2018-2028,25-1112,"Law Teachers, Postsecondary",80,100,10,0.1,30,40,90,0.00,109063.00,Doctoral or professional degree,Less than 5 years,None
Regional Planning Unit,San Joaquin Valley and Associated Counties,2018-2028,25-1121,"Art, Drama, and Music Teachers, Postsecondary",1200,1280,80,0.1,460,570,1110,0.00,89291.00,Master's degree,None,None
Regional Planning Unit,San Joaquin Valley and Associated Counties,2018-2028,25-1122,"Communications Teachers, Postsecondary",180,180,0,-0.0,70,80,140,0.00,108306.00,Doctoral or professional degree,None,None
Regional Planning Unit,San Joaquin Valley and Associated Counties,2018-2028,25-1123,"English Language and Literature Teachers, Postsecondary",620,620,-10,-0.0,230,280,510,0.00,117467.00,Doctoral or professional degree,None,None
Regional Planning Unit,San Joaquin Valley and Associated Counties,2018-2028,25-1124,"Foreign Language and Literature Teachers, Postsecondary",130,120,-10,-0.1,50,60,100,0.00,107677.00,Doctoral or professional degree,None,None
Regional Planning Unit,San Joaquin Valley and Associated Counties,2018-2028,25-1125,"History Teachers, Postsecondary",130,130,0,-0.0,50,60,110,0.00,115239.00,Doctoral or professional degree,None,None
Regional Planning Unit,San Joaquin Valley and Associated Counties,2018-2028,25-1126,"Philosophy and Religion Teachers, Postsecondary",70,70,0,0.0,30,30,60,0.00,88203.00,Doctoral or professional degree,None,None
Regional Planning Unit,San Joaquin Valley and Associated Counties,2018-2028,25-1191,Graduate Teaching Assistants,1200,1260,70,0.1,450,560,1080,0.00,0.00,Bachelor's degree,None,None
Regional Planning Unit,San Joaquin Valley and Associated Counties,2018-2028,25-1193,"Recreation and Fitness Studies Teachers, Postsecondary",240,230,-10,-0.0,90,110,180,0.00,117419.00,Doctoral or professional degree,None,None
Regional Planning Unit,San Joaquin Valley and Associated Counties,2018-2028,25-1194,"Vocational Education Teachers, Postsecondary",1090,1120,30,0.0,410,510,940,28.31,58895.00,Bachelor's degree,Less than 5 years,None
Regional Planning Unit,San Joaquin Valley and Associated Counties,2018-2028,25-1199,"Postsecondary Teachers, All Other",4380,4680,300,0.1,1670,2080,4050,0.00,84642.00,Doctoral or professional degree,None,None
Regional Planning Unit,San Joaquin Valley and Associated Counties,2018-2028,25-2011,"Preschool Teachers, Except Special Education",4560,5290,730,0.2,1950,2990,5680,17.37,36112.00,Associate's degree,None,None
Regional Planning Unit,San Joaquin Valley and Associated Counties,2018-2028,25-2012,"Kindergarten Teachers, Except Special Education",1620,1730,120,0.1,660,1020,1800,0.00,86028.00,Bachelor's degree,None,None
Regional Planning Unit,San Joaquin Valley and Associated Counties,2018-2028,25-2021,"Elementary School Teachers, Except Special Education",21360,22850,1500,0.1,6880,9430,17800,0.00,87500.00,Bachelor's degree,None,None
Regional Planning Unit,San Joaquin Valley and Associated Counties,2018-2028,25-2022,"Middle School Teachers, Except Special and Career/Technical Education",7110,7620,510,0.1,2290,3140,5950,0.00,81865.00,Bachelor's degree,None,None
Regional Planning Unit,San Joaquin Valley and Associated Counties,2018-2028,25-2031,"Secondary School Teachers, Except Special and Career/Technical Education",11300,12120,820,0.1,3250,4950,9020,0.00,93303.00,Bachelor's degree,None,None
Regional Planning Unit,San Joaquin Valley and Associated Counties,2018-2028,25-2032,"Career/Technical Education Teachers, Secondary School",600,640,40,0.1,170,260,470,0.00,100132.00,Bachelor's degree,Less than 5 years,None
Regional Planning Unit,San Joaquin Valley and Associated Counties,2018-2028,25-2052,"Special Education Teachers, Kindergarten and Elementary School",2160,2300,140,0.1,740,940,1820,0.00,80403.00,Bachelor's degree,None,None
Regional Planning Unit,San Joaquin Valley and Associated Counties,2018-2028,25-2053,"Special Education Teachers, Middle School",760,810,50,0.1,260,330,640,0.00,0.00,Bachelor's degree,None,None
Regional Planning Unit,San Joaquin Valley and Associated Counties,2018-2028,25-2054,"Special Education Teachers, Secondary School",1070,1140,70,0.1,360,460,900,0.00,0.00,Bachelor's degree,None,None
Regional Planning Unit,San Joaquin Valley and Associated Counties,2018-2028,25-2059,"Special Education Teachers, All Other",230,240,20,0.1,80,100,190,0.00,77915.00,Bachelor's degree,None,None
Regional Planning Unit,San Joaquin Valley and Associated Counties,2018-2028,25-3011,Adult Basic and Secondary Education and Literacy Teachers and Instructors,2410,2210,-210,-0.1,1330,1300,2430,39.11,81353.00,Bachelor's degree,None,None
Regional Planning Unit,San Joaquin Valley and Associated Counties,2018-2028,25-3021,Self-Enrichment Education Teachers,2380,2710,330,0.1,1470,1430,3230,16.43,34162.00,High school diploma or equivalent,Less than 5 years,None
Regional Planning Unit,San Joaquin Valley and Associated Counties,2018-2028,25-3097,"Teachers and Instructors, All Other, Except Substitute Teachers",4720,5110,390,0.1,2840,2770,6000,0.00,54279.00,Bachelor's degree,None,None
Regional Planning Unit,San Joaquin Valley and Associated Counties,2018-2028,25-3098,Substitute Teachers,16860,17980,1120,0.1,10060,9800,20980,0.00,0.00,Bachelor's degree,None,None
Regional Planning Unit,San Joaquin Valley and Associated Counties,2018-2028,25-4011,Archivists,10,20,0,0.2,10,10,20,0.00,0.00,Master's degree,None,None
Regional Planning Unit,San Joaquin Valley and Associated Counties,2018-2028,25-4012,Curators,50,60,10,0.1,30,40,70,34.26,71256.00,Master's degree,None,None
